Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,EMI_proxy,DTI_proxy
Male,No,0.0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,5849.0,0.36527777777777776,0.024139118809354668
Male,Yes,1.0,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,0.35555555555555557,0.0210146117222131
Male,Yes,0.0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,0.18333333333333332,0.022
Male,Yes,0.0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,0.3333333333333333,0.024286581663630843
Male,No,0.0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,0.39166666666666666,0.0235
Male,Yes,2.0,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,0.7416666666666667,0.027774888172266723
Male,Yes,0.0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,0.2638888888888889,0.024681735515718367
Male,Yes,0.0,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,0.4388888888888889,0.02851985559566787
Male,Yes,2.0,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,0.4666666666666667,0.03036876355748373
Male,Yes,1.0,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,0.9694444444444444,0.014658322483094628
Male,Yes,2.0,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,0.19444444444444445,0.017948717948717947
Male,Yes,2.0,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,0.30277777777777776,0.02511520737327189
Male,Yes,2.0,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,0.5555555555555556,0.01789068789694964
Male,No,0.0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,0.31666666666666665,0.024291497975708502
Male,Yes,2.0,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,0.14166666666666666,0.007127882599580713
Male,No,0.0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,0.3472222222222222,0.025252525252525252
Male,No,1.0,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,3596.0,0.4166666666666667,0.027808676307007785
Female,No,0.0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,0.2111111111111111,0.021652421652421653
Male,Yes,0.0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,0.36944444444444446,0.027215060364231634
Male,Yes,0.0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,0.36527777777777776,0.018852459016393444
Male,Yes,0.0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,0.28888888888888886,0.013577023498694517
Male,Yes,1.0,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,0.875,0.027202072538860103
Male,Yes,0.0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,0.32222222222222224,0.025714919086677012
Male,Yes,2.0,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,5282.0,0.3111111111111111,0.021204089360090876
Male,Yes,1.0,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,6642.0,0.41944444444444445,0.02273411623005119
Male,Yes,0.0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,0.5305555555555556,0.01997907949790795
Male,Yes,0.0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,0.3388888888888889,0.02414885193982581
Male,Yes,2.0,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,0.3055555555555556,0.020888720091150777
Male,No,0.0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,1442.0,0.09722222222222222,0.024271844660194174
Female,No,2.0,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,0.3333333333333333,0.020572604148808505
Male,Yes,1.0,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,7535.0,0.5583333333333333,0.026675514266755143
Male,No,0.0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,3167.0,0.20555555555555555,0.023365961477739186
Male,No,1.0,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,4692.0,0.29444444444444445,0.022591645353793693
Male,Yes,0.0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,0.31666666666666665,0.022063092703696534
Male,No,0.0,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,15500.0,0.8888888888888888,0.02064516129032258
Male,Yes,0.0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,4342.0,0.36527777777777776,0.024139118809354668
Male,Yes,0.0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N,3158.0,0.36527777777777776,0.031665611146295125
Female,Yes,0.0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,0.4,0.02809207959422552
Male,No,0.0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,0.5111111111111111,0.01617440225035162
Male,No,0.0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,0.3055555555555556,0.02031019202363368
Male,No,0.0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,3600.0,0.2222222222222222,0.022222222222222223
Male,No,0.0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,0.13055555555555556,0.015599070693660804
Male,Yes,0.0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,2400.0,0.20833333333333334,0.03125
Male,Yes,0.0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,0.37222222222222223,0.021347777600764697
Male,Yes,0.0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y,4695.0,0.36527777777777776,0.020447284345047924
Female,No,0.0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y,3410.0,0.36527777777777776,0.025806451612903226
